Dev_log2_enrichment	Hk_log2_enrichment
-2.560714958	0.941785386
-0.536052901	0.4639471
1.244484009	1.680583124
3.736965594	3.084888898
0.501749133	0.961180751
-0.758445321	0.978520273
2.584962501	5.247927513
1.371968777	0.49749966
-0.389566811	0.288505094
0.240539768	1.825502269
0.183711953	-0.754887501
-1.116863757	-0.531901258
-0.378511624	0.7589919
-1.140778657	-0.655351828
1.919829651	3.019365325
1.352301744	2.674229839
1.96437609	3.134301092
4.736965594	6.058893689
3.974004791	4.215012891
4.480625841	3.802553936
1.196397213	-0.678071905
-0.214124805	-0.9510904
3.932885804	5.212993723
0.260151897	1.638663521
0.884522782	2.884522783
0.557358039	-0.094718658
3.367731785	2.952694285
3.885064233	2.112474729
0.201834249	0.616871749
3.132103536	3.886991038
-0.981852653	0.11768302
1.294447359	-0.40599236
0.0	1.0
-0.479690458	0.742701964
-1.424922087	-0.287418564
-1.56275122	-2.562751224
-0.137503524	1.8259706
2.800159421	-0.329123597
-1.91965789	-0.504620392
4.561115759	5.345387068
1.064540252	0.064540252
3.36257008	4.440572591
-0.056005409	1.680960185
-0.782789776	-1.072296393
0.950905451	0.709897351
-1.066089191	-1.481126691
-0.753360032	-0.975752455
3.222392421	2.0
2.374395515	1.736965594
-0.232660756	-0.817623256
2.736965594	4.321928095
4.504792152	2.919829651
2.074000582	3.796466606
-0.738767838	-0.416839743
1.304006187	0.567040592
-0.032421477	-0.491853097
1.183514066	1.405906487
4.084888898	5.921390165
1.732164608	1.042504728
-1.100977648	0.036525877
3.674229839	3.226770862
2.952694285	0.952694285
0.527512228	-0.150559676
2.226770862	2.854802084
1.120294233	2.498805857
2.176877762	2.476438044
3.404390255	2.234465254
3.106915204	1.299560282
0.104697378	0.590124206
1.459807369	-0.803227035
2.798366139	3.798366139
3.640104055	3.303069068
5.196397213	4.906890596
-2.046141779	-0.046141782
3.051838932	4.719263592
2.893084796	1.192645078
-0.476813697	0.938223803
1.01449957	2.599462071
0.921048658	1.380480277
3.530514717	3.0
0.89566334	1.480625841
-0.011972642	1.403064858
0.4639471	1.200912694
2.771731012	4.134301092
-0.807354923	0.870716983
2.089267338	1.837728571
2.123148231	4.021268617
-0.19592021	0.152003093
-1.078951342	0.380480277
0.164581159	0.252044001
2.358453971	3.943416471
3.4150375	2.222392421
1.717066037	1.454031631
-0.35614381	0.321928095
-0.08282643	-0.95729555
-2.608809245	-1.871843647
0.639118271	-0.286881148
1.203533394	0.415037499
3.084888898	3.277533976
-0.488286482	-0.073248981
0.106637789	-0.755858687
-2.221103724	-1.221103724
0.447458977	1.447458977
4.514573173	4.099535673
-0.13093087	0.354495958
1.836501268	1.099535674
2.269839584	2.089267338
2.084888897	1.59946207
2.847996907	3.678071905
-1.554588851	-0.38466385
1.647328381	0.268816758
3.184424571	1.125530882
2.480625841	3.011140558
0.929610672	1.007613184
2.177538186	1.251538767
0.234465253	0.556393348
2.428843299	1.621488377
0.549338591	-1.450661407
1.736965594	2.321928095
0.596103058	-0.296981738
-0.179056013	0.013589064
0.632628934	0.743660247
3.198545679	2.391190757
-1.451540833	-2.188506426
2.493040011	2.768674454
0.725738339	0.533093261
-0.147115118	-0.064652958
0.976153258	3.298081353
2.0	3.736965594
2.862496476	3.562936195
2.793549122	1.263034406
-0.336283388	-0.014355293
0.552541023	1.616671361
-0.576925183	-0.161887682
2.099535674	2.684498174
0.200912693	1.0489096
2.0085115	1.09097366
-0.084064265	-1.084064265
0.391190758	-0.193771743
-0.476813697	0.938223803
0.567040592	1.374395515
0.487092437	1.034580232
1.590609064	1.800062429
1.106915204	1.469485283
-0.452858965	-0.867896465
5.736965594	3.736965594
2.765534746	1.263034406
0.716306123	1.015866406
1.700831808	0.984624774
0.055141554	0.170618772
3.224317298	2.66792395
0.419854515	-0.580145485
2.347923303	2.125530882
0.509429869	-1.490570131
-0.402964667	-1.98792717
1.480625841	2.703018262
-0.963474123	0.621488376
1.942549728	0.849440324
3.584962501	4.502500341
-2.477353526	-1.017921909
2.152003093	1.567040593
0.723367991	1.473389738
1.321928095	1.684498174
